prompt,highest_score_img_reward,lowest_score_img_reward,baseline_score_img_reward,highest_score_hpsv,lowest_score_hpsv,baseline_score_hpsv,highest_score_clip,lowest_score_clip,baseline_score_clip,highest_score_aesthetic,lowest_score_aesthetic,baseline_score_aesthetic,lowest_accuracy_to_prompt,lowest_creativity_and_originality,lowest_visual_quality_and_realism,lowest_consistency_and_cohesion,lowest_emotional_or_thematic_resonance,lowest_overall_score,baseline_accuracy_to_prompt,baseline_creativity_and_originality,baseline_visual_quality_and_realism,baseline_consistency_and_cohesion,baseline_emotional_or_thematic_resonance,baseline_overall_score,highest_accuracy_to_prompt,highest_creativity_and_originality,highest_visual_quality_and_realism,highest_consistency_and_cohesion,highest_emotional_or_thematic_resonance,highest_overall_score
"An emoji of a baby panda wearing a red hat, green gloves, red shirt, and green pants.",1.919428825378418,0.9453017115592957,0.9453017115592957,0.3117766976356506,0.30129075050354,0.30129075050354,31.88517951965332,30.435590744018555,30.435590744018555,3.590395927429199,3.389728546142578,3.389728546142578,9.0,7.0,8.5,9.0,8.0,8.3,8.0,6.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,10.0,9.0
"An emoji of a baby panda wearing a red hat, blue gloves, green shirt, and blue pants.",1.8203601837158203,0.4334868192672729,0.4334868192672729,0.30052450299263,0.3013513386249542,0.3013513386249542,29.483863830566406,33.339569091796875,33.339569091796875,3.4724950790405273,2.9227304458618164,2.9227304458618164,10.0,9.0,9.0,10.0,9.0,9.4,6.0,8.0,9.0,10.0,9.0,8.4,6.0,8.0,9.0,10.0,9.0,8.4
A fisheye lens view of a turtle sitting in a forest.,1.7662417888641355,0.9054648876190186,1.1677579879760742,0.2906630635261535,0.2811396718025207,0.296055793762207,34.0906867980957,35.41351318359375,33.35093688964844,4.766608238220215,3.890395164489746,4.405759334564209,9.0,8.0,9.0,10.0,8.0,8.8,10.0,9.0,9.0,10.0,8.0,9.2,9.0,8.0,8.0,9.0,7.0,8.2
A side view of an owl sitting in a field.,1.319447040557861,0.1250103265047073,1.1893166303634644,0.3120714426040649,0.3065219819545746,0.3066985011100769,28.00200462341309,29.371240615844727,27.223535537719727,3.839222908020019,3.931652545928955,4.113229274749756,10.0,6.0,9.0,10.0,8.0,8.6,9.0,6.0,9.0,10.0,7.0,8.2,9.0,6.0,9.0,10.0,7.0,8.2
A cross-section view of a brain.,0.6264806985855103,0.0957579240202903,0.4514593482017517,0.285950243473053,0.2708496451377868,0.2754340171813965,22.16019630432129,22.821752548217773,22.874652862548828,4.4488525390625,3.850832939147949,4.1175432205200195,9.0,6.0,8.0,10.0,5.0,7.6,9.0,5.0,8.0,10.0,7.0,8.0,10.0,7.0,9.0,10.0,5.0,8.0
"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",0.8998237252235413,0.0334845557808876,0.6600362658500671,0.2614009380340576,0.2644270062446594,0.2641009986400604,20.19346809387207,22.16929817199707,20.103578567504883,3.730191707611084,4.098954200744629,3.623330593109131,9.0,7.0,8.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,9.0,7.0,7.6
"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",0.5470107197761536,-0.2086297422647476,0.1116793900728225,0.277752012014389,0.2831853032112121,0.2853420376777649,23.785520553588867,22.876604080200195,23.216716766357425,3.8335113525390625,3.748096466064453,3.8694205284118657,9.0,7.0,8.0,8.5,6.0,7.7,9.0,6.0,8.5,9.0,5.0,7.5,9.0,6.0,8.0,9.0,7.0,8.0
"A small vessel propelled on water by oars, sails, or an engine.",0.8294951319694519,-0.1533162742853164,0.640119194984436,0.2926419675350189,0.2923028469085693,0.2891919016838074,24.802881240844727,25.267534255981445,24.751266479492188,4.300238132476807,4.079148769378662,4.260216236114502,9.0,6.0,9.0,10.0,8.0,8.4,9.0,6.0,9.0,10.0,7.0,8.2,9.0,6.0,8.0,10.0,8.0,8.2
A connection point by which firefighters can tap into a water supply.,0.9600105285644532,-0.7281936407089233,-0.7281936407089233,0.2746967673301697,0.2611600756645202,0.2611600756645202,21.467287063598633,20.24424171447754,20.24424171447754,3.4621572494506836,4.3380866050720215,4.3380866050720215,9.0,6.0,8.0,9.0,8.0,8.0,2.0,4.0,9.0,8.0,7.0,6.0,3.0,6.0,8.0,9.0,7.0,6.6
"A machine next to a parking space in a street, into which the driver puts money so as to be authorized to park the vehicle for a particular length of time.",1.274153232574463,0.2688743472099304,0.8982527256011963,0.2743424475193023,0.2712656557559967,0.2810439467430115,25.48026657104492,25.807483673095703,29.3371524810791,3.457498550415039,3.938074588775635,3.674757480621338,9.0,6.0,8.0,9.0,5.0,7.4,9.0,6.0,8.0,9.0,5.0,7.4,10.0,7.0,9.0,10.0,7.0,8.6
"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun.",0.9164271354675292,0.1423407793045044,0.1423407793045044,0.294641375541687,0.2840257287025451,0.2840257287025451,28.129728317260746,28.03375244140625,28.03375244140625,3.766904830932617,4.1783342361450195,4.1783342361450195,10.0,6.0,8.0,9.0,5.0,7.6,10.0,5.0,9.0,10.0,4.0,7.6,9.0,5.0,8.0,10.0,6.0,7.6
"A separate seat for one person, typically with a back and four legs.",0.6139559745788574,-0.4525008499622345,0.5235764384269714,0.2765626907348633,0.2664029896259308,0.2761962115764618,17.429443359375,22.36602783203125,18.551280975341797,3.8287858963012695,3.164834499359131,3.8933353424072266,9.0,5.0,8.0,9.0,6.0,7.4,8.0,8.0,9.0,9.0,7.0,8.2,10.0,5.0,9.0,10.0,7.0,8.2
An appliance or compartment which is artificially kept cool and used to store food and drink.,1.5797345638275146,0.99801367521286,0.99801367521286,0.3056384325027466,0.2798166573047638,0.2798166573047638,27.140342712402344,25.083341598510746,25.083341598510746,3.5249481201171875,4.376711845397949,4.376711845397949,10.0,5.0,9.0,10.0,5.0,8.0,9.0,5.0,7.0,8.0,4.0,6.6,9.0,6.0,7.0,8.0,6.0,7.2
A mechanical or electrical device for measuring time.,1.03384268283844,0.3283756375312805,0.3283756375312805,0.2746066451072693,0.2731973230838775,0.2731973230838775,24.05083656311035,22.85208511352539,22.85208511352539,3.5775632858276367,3.719597339630127,3.719597339630127,10.0,9.0,9.0,10.0,8.0,9.2,9.0,8.0,9.0,9.0,7.0,8.4,9.0,8.0,9.0,10.0,8.0,8.8
"An instrument used for cutting cloth, paper, and other thin material, consisting of two blades laid one on top of the other and fastened in the middle so as to allow them to be opened and closed by a thumb and finger inserted through rings on the end of their handles.",0.1853639036417007,-1.2445309162139893,-0.2293314486742019,0.2544309794902801,0.240563303232193,0.2697596549987793,21.3684139251709,19.52328872680664,21.546552658081055,4.238704204559326,3.566331386566162,4.004493236541748,1.0,1.0,2.0,5.0,1.0,2.0,2.0,6.0,3.0,2.0,1.0,2.8,6.0,8.0,7.0,9.0,6.0,7.2
"A large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail, used for riding, racing, and to carry and pull loads.",1.7306642532348633,1.3475370407104492,1.6117504835128784,0.2979239821434021,0.2891131639480591,0.2968208193778991,25.910877227783203,23.3656063079834,24.97747230529785,3.706056594848633,4.091646671295166,3.980221748352051,10.0,6.0,9.0,10.0,7.0,8.4,9.0,6.0,9.0,10.0,8.0,8.4,10.0,6.0,9.0,10.0,8.0,8.6
A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe.,1.3848793506622314,-1.4266948699951172,-0.0899926871061325,0.2658935189247131,0.2471980899572372,0.2520722448825836,26.858131408691406,19.362518310546875,24.237045288085938,3.2991790771484375,3.8742384910583496,3.7609996795654297,7.0,5.0,7.0,8.0,6.0,6.6,7.0,4.0,6.0,9.0,3.0,6.0,7.0,3.0,6.0,8.0,4.0,5.6
"A small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws. It is widely kept as a pet or for catching mice, and many breeds have been developed.",1.499354600906372,0.2693675458431244,0.974814474582672,0.2750770151615143,0.2674854695796966,0.2730497717857361,26.739355087280273,25.40162467956543,26.406606674194336,3.617710590362549,3.429922103881836,3.5583786964416504,9.0,6.0,9.0,10.0,8.0,8.4,7.0,5.0,9.0,9.0,8.0,8.0,9.0,6.0,8.0,10.0,8.0,8.2
"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice.",1.7084102630615234,0.7602487802505493,1.5220296382904053,0.2680510878562927,0.2651107311248779,0.2750250697135925,23.83196258544922,22.862525939941406,23.69591903686523,3.9880776405334473,3.2053709030151367,3.637686252593994,9.0,7.0,9.0,10.0,8.0,8.6,9.0,5.0,8.0,9.0,7.0,7.6,9.0,7.0,9.0,10.0,8.0,8.6
"An organ of soft nervous tissue contained in the skull of vertebrates, functioning as the coordinating center of sensation and intellectual and nervous activity.",0.7643982768058777,-1.00912606716156,-1.00912606716156,0.2607949674129486,0.2483637332916259,0.2483637332916259,25.58761405944824,22.2191104888916,22.2191104888916,3.210813045501709,4.397599220275879,4.397599220275879,9.0,7.0,8.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0
"An American multinational technology company that focuses on artificial intelligence, search engine, online advertising, cloud computing, computer software, quantum computing, e-commerce, and consumer electronics.",0.9905275106430054,0.4193001389503479,0.7527217268943787,0.2655936181545257,0.2689076364040375,0.2636359930038452,21.406021118164062,19.201725006103516,20.433778762817383,4.253515720367432,4.202268600463867,4.356802463531494,9.0,8.0,9.0,8.0,8.0,8.4,8.0,9.0,8.0,9.0,8.0,8.4,7.0,8.0,9.0,9.0,8.0,8.2
"A large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings, which are struck by hammers when the keys are depressed. The strings' vibration is stopped by dampers when the keys are released and can be regulated for length and volume by two or three pedals.",0.9683692455291748,-0.273870050907135,0.2098930180072784,0.2831844985485077,0.2659483551979065,0.2714127898216247,26.156606674194336,20.317909240722656,27.50250244140625,3.9564805030822754,3.1792025566101074,3.387880325317383,7.0,6.0,5.0,4.0,5.0,5.4,10.0,5.0,9.0,10.0,8.0,8.4,9.0,8.0,9.0,10.0,8.0,8.8
"A type of digital currency in which a record of transactions is maintained and new units of currency are generated by the computational solution of mathematical problems, and which operates independently of a central bank.",0.3779512345790863,-0.7053062915802002,-0.043452400714159,0.2718787789344787,0.258156418800354,0.2690837383270263,25.201810836791992,22.921104431152344,25.190004348754883,4.305891036987305,4.660197734832764,4.057539463043213,9.0,8.0,8.0,9.0,8.0,8.4,9.0,8.0,9.0,10.0,8.0,8.8,9.0,8.0,9.0,10.0,8.0,8.8
"A large thick-skinned semiaquatic African mammal, with massive jaws and large tusks.",1.2612098455429075,0.0723224505782127,1.1474672555923462,0.2794697880744934,0.286245197057724,0.2894365787506103,27.09682273864746,25.149194717407227,26.005525588989254,3.717620849609375,3.703684329986572,3.911753654479981,8.0,6.0,9.0,10.0,7.0,8.0,8.0,6.0,9.0,10.0,8.0,8.2,9.0,8.0,9.0,10.0,9.0,9.0
A machine resembling a human being and able to replicate certain human movements and functions automatically.,1.640375018119812,0.8020679950714111,1.4645531177520752,0.2791974246501922,0.2801210284233093,0.2753839492797851,25.610734939575195,26.08199882507324,25.03090476989746,3.7754878997802734,3.690643310546875,3.79508113861084,9.0,8.0,9.0,9.0,8.0,8.6,9.0,8.0,9.0,9.0,8.0,8.6,9.0,7.0,8.5,8.0,7.0,7.9
Paying for a quarter-sized pizza with a pizza-sized quarter.,0.6084564924240112,-0.9261537194252014,-0.9261537194252014,0.2678879797458648,0.267183780670166,0.267183780670166,21.140409469604492,24.341672897338867,24.341672897338867,4.026193618774414,3.870808124542236,3.870808124542236,3.0,3.0,8.0,10.0,3.0,5.0,3.0,5.0,8.0,7.0,4.0,5.4,3.0,2.0,7.0,9.0,4.0,5.0
An oil painting of a couple in formal evening wear going home get caught in a heavy downpour with no umbrellas.,1.6736904382705688,1.2279144525527954,1.4323772192001345,0.3106044828891754,0.2962419986724853,0.3038357496261596,32.22065734863281,34.29561996459961,32.761783599853516,4.138773441314697,4.169320106506348,4.019839286804199,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.4,9.0,8.0,9.0,10.0,8.0,8.8
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",0.7194667458534241,-1.416232347488403,-1.416232347488403,0.2672343254089355,0.258689671754837,0.258689671754837,29.096656799316406,26.95562744140625,26.95562744140625,3.5265283584594727,4.364327907562256,4.364327907562256,6.0,4.0,7.0,8.0,5.0,6.0,6.0,5.0,7.0,8.0,5.0,6.0,6.0,5.0,7.0,8.0,5.0,6.0
"In late afternoon in January in New England, a man stands in the shadow of a maple tree.",1.91803240776062,1.618239402770996,1.6272742748260498,0.2834380865097046,0.2741568684577942,0.2766697704792022,32.936614990234375,31.99755859375,27.508636474609375,3.8455843925476074,3.6180434226989746,3.6818971633911137,8.0,7.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,8.0,8.2,9.0,7.0,8.0,9.0,8.0,8.2
An elephant is behind a tree. You can see the trunk on one side and the back legs on the other.,1.6649237871170044,1.010144591331482,1.0986804962158203,0.3108922243118286,0.3063779175281524,0.3098793029785156,25.28252220153809,26.992788314819336,27.48687171936035,3.971996784210205,3.9151906967163086,3.8668479919433594,1.0,3.0,9.0,10.0,5.0,5.6,2.0,5.0,9.0,10.0,4.0,6.0,2.0,7.0,9.0,10.0,8.0,7.0
A tomato has been put on top of a pumpkin on a kitchen stool. There is a fork sticking into the pumpkin. The scene is viewed from above.,1.4586900472640991,-1.9844268560409544,-1.9844268560409544,0.2892089486122131,0.2572116255760193,0.2572116255760193,31.3299560546875,23.36023712158203,23.36023712158203,3.70303726196289,3.307593822479248,3.307593822479248,2.0,3.0,8.0,9.0,4.0,5.0,2.0,3.0,8.0,9.0,4.0,5.0,4.0,7.0,9.0,10.0,4.0,6.8
A pear cut into seven pieces arranged in a ring.,1.8415955305099487,-2.0565943717956543,-1.6194040775299072,0.2761684656143188,0.2428179830312729,0.2531705498695373,26.89899444580078,22.83711814880371,23.31744956970215,3.781665802001953,3.5571789741516113,3.360162258148194,1.0,2.0,9.0,10.0,1.0,4.6,1.0,1.0,9.0,10.0,5.0,5.2,9.0,7.0,8.0,9.0,6.0,8.0
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",1.6392860412597656,-0.1646174043416977,1.6392860412597656,0.2940406501293182,0.2744260728359222,0.2940406501293182,30.85791778564453,25.502641677856445,30.85791778564453,3.9487948417663574,3.4214930534362793,3.9487948417663574,2.0,9.0,6.0,9.0,6.0,6.4,2.0,9.0,6.0,9.0,6.0,6.4,6.0,7.0,6.0,7.0,8.0,7.0
"Supreme Court Justices play a baseball game with the FBI. The FBI is at bat, the justices are on the field.",0.6793753504753113,-1.6100709438323977,-1.6100709438323977,0.255570113658905,0.2354538887739181,0.2354538887739181,26.040502548217773,28.13155937194824,28.13155937194824,3.2321581840515137,3.3377275466918945,3.3377275466918945,3.0,9.0,8.0,9.0,8.0,7.4,9.0,8.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,7.8
Abraham Lincoln touches his toes while George Washington does chin-ups. Lincoln is barefoot. Washington is wearing boots.,0.9952886700630188,-0.419857919216156,0.0083472440019249,0.2638441324234009,0.2570872604846954,0.2599200010299682,27.22748756408691,21.947744369506836,24.421056747436523,3.855867862701416,3.6556992530822754,4.013076305389404,1.0,3.0,7.0,9.0,1.0,4.0,1.0,3.0,9.0,9.0,1.0,4.6,1.0,7.0,7.0,3.0,1.0,3.8
Tcennis rpacket.,-0.3899615705013275,-1.1937021017074585,-0.6883582472801208,0.2442548722028732,0.2382256984710693,0.2444956004619598,14.37592601776123,14.264554977416992,14.180088996887209,4.325699806213379,4.332508563995361,4.010461330413818,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.4,8.0,9.0,8.0,9.0,8.0,8.4
Bzaseball galove.,0.946922779083252,-0.826941967010498,0.397939383983612,0.2615335285663605,0.2403581440448761,0.2557315230369568,15.776041984558104,15.69378662109375,17.69940757751465,4.045909404754639,4.742936134338379,4.059363842010498,2.0,8.0,9.0,9.0,8.0,7.0,1.0,9.0,7.0,8.0,6.0,6.2,3.0,9.0,8.0,6.0,7.0,6.6
Rbefraigerator.,-0.1273817867040634,-1.8027070760726929,-1.2064586877822876,0.260305792093277,0.2602691054344177,0.2572418749332428,13.229925155639648,15.809480667114258,15.872108459472656,3.709615707397461,3.9444503784179688,3.6667838096618657,1.0,9.0,8.0,9.0,7.0,7.0,3.0,9.0,8.0,7.0,5.0,6.4,0.0,8.0,9.0,9.0,7.0,6.6
Dininrg tablez.,0.0711213648319244,-0.9603018760681152,-0.2648708522319793,0.2630188167095184,0.2500122487545013,0.2555934190750122,17.291898727416992,15.61105251312256,17.85053253173828,4.198850154876709,3.8324766159057617,3.931844711303711,7.0,5.0,6.0,7.0,6.0,6.2,7.0,6.0,7.0,8.0,6.0,6.8,9.0,8.0,8.0,9.0,7.0,8.2
Pafrking metr.,0.0318139232695102,-1.1848089694976809,-0.8721318244934082,0.2570069134235382,0.2627326250076294,0.2641893923282623,14.012639045715332,11.276307106018066,12.307992935180664,4.194435119628906,4.297129154205322,4.02081298828125,3.0,6.0,8.0,7.0,7.0,6.2,1.0,4.0,7.0,8.0,3.0,3.0,1.0,5.0,8.0,9.0,6.0,4.0
"A smafml vessef epropoeilled on watvewr by ors, sauls, or han engie.",1.028639793395996,0.3621487915515899,0.4853551089763641,0.2528408467769623,0.2560324370861053,0.2505979835987091,16.44062614440918,16.508195877075195,14.539719581604004,4.282933712005615,3.977730274200439,4.304500102996826,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,8.4
"A sjmall domesticated carnivorious mammnal with sof fuh,y a sthort sout, and retracwtablbe flaws. It iw widexly kept as a pet or for catchitng mic, ad many breeds zhlyde beefn develvoked.",0.7439664602279663,-0.5074689388275146,-0.2081475853919983,0.2642822265625,0.2621966898441314,0.2596698999404907,18.288928985595703,19.909454345703125,19.94562530517578,4.265366554260254,3.739767551422119,3.611612319946289,8.0,5.0,9.0,10.0,7.0,8.0,7.0,6.0,8.0,9.0,8.0,7.6,9.0,5.0,9.0,10.0,7.0,8.0
"An instqrumemnt used for cutting cloth, paper, axdz othr thdin mteroial, consamistng of two blades lad one on tvopb of the other and fhastned in tle mixdqdjle so as to bllow them txo be pened and closed by thumb and fitngesr inserted tgrough rings on kthe end oc thei vatndlzes.",0.0849599614739418,-0.9409924745559692,-0.5228683352470398,0.2558361291885376,0.2425263524055481,0.2439081519842147,,,,3.716775894165039,3.899590015411377,3.7997422218322754,1.0,2.0,7.0,9.0,3.0,4.0,1.0,1.0,9.0,10.0,1.0,4.4,7.0,5.0,9.0,10.0,3.0,7.0
"A domesticated carnivvorous mzammal that typicbally hfaas a lons sfnout, an acxujte sense off osmell, noneetractaaln crlaws, anid xbarkring,y howlingu, or whining rvoiche.",1.227298140525818,0.739914059638977,0.959278643131256,0.2587440609931946,0.2682849764823913,0.2600857019424438,21.885101318359375,24.46894645690918,21.641864776611328,4.1300177574157715,3.3844175338745117,4.209190845489502,9.0,5.0,8.0,9.0,7.0,8.0,9.0,7.0,9.0,10.0,7.0,8.4,7.0,5.0,9.0,10.0,8.0,8.0
"A ldarge keybord msical instroument lwith a woden case enmclosig a qsouvnkboajrd and mfgtal strivgf, which are strucrk b hammrs when the nels are depresdsmed.f lhe strsingsj' vibration ie stopped by damperds when the keys re released and can bce regulavewdd for lengh and vnolume y two or three pedalvs.",0.9306833744049072,0.384933739900589,0.5563116669654846,0.27032271027565,0.2595509886741638,0.2624660730361938,,,,3.379873275756836,3.641032695770264,3.827911853790283,6.0,4.0,7.0,9.0,6.0,6.4,6.0,8.0,5.0,5.0,7.0,6.2,5.0,7.0,6.0,4.0,5.0,5.4
A train on top of a surfboard.,1.892261624336243,-0.2948773205280304,0.092953473329544,0.3217114210128784,0.3016184568405151,0.3050758242607116,32.39908981323242,29.015140533447266,28.62064552307129,3.702786445617676,3.916534900665283,3.7692718505859375,10.0,10.0,9.0,9.0,9.0,9.4,10.0,10.0,9.0,9.0,8.0,9.2,10.0,10.0,9.0,8.0,9.0,9.2
A wine glass on top of a dog.,1.7219072580337524,-1.4778426885604858,0.7885295748710632,0.3180117607116699,0.2769122719764709,0.2990433871746063,25.603382110595703,19.479248046875,30.413808822631836,3.528576374053955,3.581343650817871,3.5253124237060547,9.0,6.0,9.0,10.0,7.0,8.2,7.0,9.0,9.0,10.0,8.0,8.6,6.0,7.0,8.0,7.0,5.0,6.6
A bicycle on top of a boat.,1.8784741163253784,-1.6653097867965698,1.7991334199905396,0.3168047368526459,0.2604084312915802,0.3180518746376037,23.32004737854004,15.822978019714355,27.720781326293945,3.8873677253723145,4.157724857330322,3.9898738861083984,9.0,6.0,9.0,8.0,7.0,7.8,10.0,6.0,9.0,9.0,5.0,7.8,8.0,7.0,7.0,9.0,7.0,7.6
An umbrella on top of a spoon.,1.6130887269973757,-1.511589527130127,0.2424748688936233,0.2941219210624695,0.2786544561386108,0.2909444570541382,21.72884750366211,21.661142349243164,24.79170036315918,3.903263092041016,3.702315330505371,3.571981430053711,10.0,9.0,9.0,10.0,8.0,9.2,10.0,9.0,9.0,10.0,8.0,9.2,10.0,9.0,9.0,9.0,8.0,9.0
A laptop on top of a teddy bear.,1.65523362159729,-0.502611517906189,-0.2618036270141601,0.3141267895698547,0.3064796328544616,0.304500550031662,26.82328224182129,25.90066719055176,26.64621353149414,3.576554298400879,3.2652664184570312,3.2538599967956543,10.0,7.0,9.0,10.0,8.0,8.8,10.0,6.0,9.0,10.0,7.0,8.4,10.0,6.0,9.0,10.0,7.0,8.4
A giraffe underneath a microwave.,0.5712629556655884,-0.4200758934020996,0.0065821735188364,0.2860486507415771,0.278900146484375,0.2854622602462768,28.87324333190918,29.524024963378903,28.7598876953125,3.7992663383483887,3.814248561859131,3.76762056350708,7.0,9.0,9.0,10.0,7.0,8.4,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,7.0,8.2
A donut underneath a toilet.,1.283639430999756,-1.5086283683776855,0.994903028011322,0.3036783933639526,0.2851652204990387,0.2907438278198242,28.92667579650879,26.094676971435547,27.789701461791992,3.820361614227295,3.83931827545166,3.671008586883545,8.0,9.0,7.0,6.0,9.0,8.0,3.0,6.0,8.0,9.0,5.0,6.0,8.0,9.0,9.0,8.0,8.0,8.4
A hair drier underneath a sheep.,1.7138547897338867,-0.3152753412723541,0.4744260609149933,0.2935640215873718,0.2827096283435821,0.2734900116920471,31.10938835144043,29.17047882080078,21.0244083404541,3.8069100379943848,3.732787609100342,4.276668071746826,9.0,7.0,9.0,9.0,7.0,8.2,6.0,9.0,8.0,6.0,7.0,7.0,3.0,2.0,9.0,8.0,3.0,5.0
A tennis racket underneath a traffic light.,1.8931642770767212,-1.826260328292847,-0.8870133757591248,0.3095406293869018,0.2613860070705414,0.2664195299148559,32.48857498168945,20.84979248046875,20.230804443359375,3.5646281242370605,3.8437461853027344,3.2985029220581055,1.0,1.0,8.0,7.0,3.0,4.0,9.0,7.0,8.0,9.0,6.0,8.0,1.0,3.0,8.0,9.0,6.0,5.0
A zebra underneath a broccoli.,1.8724420070648191,1.247595191001892,1.2679964303970337,0.3248514831066131,0.3154522180557251,0.3005830943584442,37.08601760864258,33.70759582519531,37.43685150146485,4.073848724365234,4.673894882202148,4.035134792327881,9.0,8.0,9.0,9.0,7.0,8.4,7.0,8.0,9.0,7.0,7.0,7.6,9.0,9.0,9.0,9.0,8.0,8.8
A banana on the left of an apple.,1.6810935735702517,-0.5899546146392822,-0.5899546146392822,0.296577513217926,0.2570127546787262,0.2570127546787262,28.429367065429688,18.654783248901367,18.654783248901367,3.778497695922851,3.6409196853637695,3.6409196853637695,1.0,5.0,8.0,10.0,1.0,5.0,1.0,5.0,8.0,10.0,1.0,5.0,10.0,5.0,9.0,10.0,3.0,7.4
A couch on the left of a chair.,0.7609972357749939,-0.7418190836906433,-0.3571214079856872,0.2880051136016845,0.2729392051696777,0.279554009437561,20.71599578857422,20.25060653686523,21.22884178161621,3.517871379852295,3.7996983528137207,3.147286891937256,10.0,5.0,9.0,10.0,7.0,8.2,5.0,3.0,9.0,9.0,6.0,6.4,6.0,5.0,9.0,9.0,6.0,7.0
A car on the left of a bus.,0.5106772184371948,-1.053844332695007,-1.053844332695007,0.2786360383033752,0.2807455658912658,0.2807455658912658,21.63005256652832,21.953777313232425,21.953777313232425,3.948038101196289,3.840107917785645,3.840107917785645,9.0,4.0,9.0,10.0,5.0,7.4,3.0,4.0,8.0,9.0,5.0,6.0,2.0,3.0,8.0,9.0,5.0,5.0
A cat on the left of a dog.,1.6276895999908447,1.1046849489212036,1.4967210292816162,0.2902287244796753,0.277951031923294,0.2980729937553406,22.381662368774418,20.70197868347168,23.94634056091309,3.573518753051758,3.065609931945801,3.7506041526794434,10.0,7.0,9.0,10.0,8.0,8.8,9.0,7.0,8.0,10.0,7.0,8.2,10.0,5.0,9.0,10.0,7.0,8.2
A carrot on the left of a broccoli.,1.315539002418518,-0.1368200778961181,0.5701096653938293,0.2942575216293335,0.267645001411438,0.2791637480258941,25.203319549560547,24.83719825744629,24.49175262451172,3.4205102920532227,3.487861156463623,2.963347911834717,5.0,5.0,9.0,7.0,5.0,6.0,1.0,4.0,9.0,10.0,6.0,6.0,2.0,7.0,9.0,9.0,8.0,7.0
A pizza on the right of a suitcase.,1.4322574138641355,-0.7612742185592651,0.4723957777023315,0.306381344795227,0.2854278683662414,0.2935388386249542,30.020397186279297,28.10040855407715,29.659196853637695,3.839656352996826,3.578355312347412,3.215606212615967,10.0,5.0,9.0,10.0,4.0,7.6,8.0,5.0,9.0,10.0,3.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0
A cat on the right of a tennis racket.,1.7542495727539062,0.0868509635329246,0.8572835922241211,0.3090580701828003,0.2955438792705536,0.3146997094154358,27.216930389404297,30.127777099609375,29.060640335083008,3.6257619857788086,3.901353359222412,3.43616247177124,10.0,9.0,9.0,10.0,9.0,9.4,7.0,6.0,8.0,9.0,7.0,7.4,10.0,9.0,9.0,10.0,9.0,9.4
A stop sign on the right of a refrigerator.,0.4165770411491394,-1.700764775276184,-0.99275541305542,0.2689310908317566,0.2525047659873962,0.2417966276407241,21.37334251403809,18.319530487060547,17.66729164123535,3.5607457160949707,3.969231605529785,3.896547317504883,10.0,9.0,9.0,10.0,10.0,9.6,1.0,3.0,9.0,10.0,2.0,5.0,9.0,6.0,9.0,8.0,5.0,7.4
A sheep to the right of a wine glass.,1.9284000396728516,-1.3890031576156616,1.8957996368408203,0.3292362689971924,0.2942683398723602,0.3302233219146728,28.888168334960938,29.11322593688965,29.668691635131836,3.5472559928894043,3.3642072677612305,3.673922061920166,10.0,9.0,9.0,10.0,8.0,9.2,10.0,9.0,9.0,10.0,8.0,9.2,9.0,6.0,8.0,9.0,4.0,7.2
A zebra to the right of a fire hydrant.,1.8466655015945437,-2.0488977432250977,0.4110316038131714,0.3050933480262756,0.2486830204725265,0.2897258698940277,33.24143981933594,20.378870010375977,27.21692276000977,3.6117053031921382,3.985220909118652,3.7926764488220215,10.0,9.0,9.0,10.0,9.0,9.4,7.0,6.0,8.0,7.0,5.0,6.6,5.0,6.0,7.0,8.0,4.0,6.0
